county,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Carlow,1,5,44,97,61,99,64,69,41,30,25,120,123,109,123,127,110,169,325,508,495,529,369,305,429,719,847,938,936,747,230,60,37,17,1,2,26,6
Cavan,10,15,11,14,35,30,53,66,37,35,61,74,88,82,80,63,106,76,183,152,176,229,270,201,370,572,1106,1133,1384,907,168,64,2,1,1,0,2,0
Clare,65,18,186,267,349,345,235,214,232,161,191,194,299,318,361,240,366,455,722,831,801,1158,891,648,864,1157,1478,1537,1916,1066,156,137,35,14,6,5,8,25
Cork,367,655,1402,1707,1298,1511,1267,1074,1041,791,925,1241,1281,1107,1303,1443,1966,1895,2712,3037,3266,4174,4424,2957,6004,5827,6425,7745,7857,4337,1740,488,358,247,140,197,297,479
Donegal,27,38,40,71,73,150,159,130,127,64,73,212,142,152,156,232,241,344,389,425,736,1020,850,710,804,1078,913,990,1391,1042,364,32,67,5,3,23,11,15
Dublin,1761,2479,4678,4012,4149,4331,4810,3850,3722,3356,3942,4500,4616,4684,5864,6145,7830,8107,8591,8040,8356,8956,8122,8724,18243,16708,18714,15656,17258,9318,4550,1113,318,140,142,675,1339,2535
Galway,173,433,268,488,279,460,357,454,339,307,473,734,630,618,615,487,623,929,1444,1281,1381,1721,1831,1780,2941,2811,2528,2556,3233,1909,728,146,31,29,10,18,32,59
Kerry,32,45,81,112,171,222,148,129,135,93,125,267,295,220,346,403,361,411,575,837,684,727,739,639,1561,1272,1762,2012,1746,1232,256,66,57,47,25,25,28,19
Kildare,154,332,668,731,603,640,667,522,508,329,370,888,770,744,932,853,1385,1300,1510,2052,2361,1972,2064,1933,2192,3264,2958,4e3,3759,2083,413,196,114,45,62,118,337,448
Kilkenny,82,83,83,145,62,142,139,134,170,156,206,261,230,255,174,189,219,304,387,450,511,512,607,648,1064,946,1174,1570,1305,727,165,67,28,43,8,8,6,16
Laois,13,26,43,77,29,68,58,50,60,68,109,88,98,77,81,150,168,252,193,233,293,597,809,346,821,1152,1568,1946,2287,1549,221,30,28,10,8,8,3,0
Leitrim,6,3,5,9,6,10,25,7,11,12,13,10,19,17,12,16,5,12,30,38,35,220,259,313,213,516,653,816,794,265,62,10,2,1,0,0,0,1
Limerick,154,134,351,619,456,586,524,340,370,284,395,667,577,520,496,693,832,767,1236,1543,1439,1543,1381,862,1824,3197,2316,2185,2563,1435,314,84,55,34,10,26,24,100
Longford,36,10,22,90,54,54,35,33,20,22,17,24,34,25,16,33,14,12,8,33,31,42,103,131,238,419,708,609,1608,279,19,10,3,0,1,1,0,0
Louth,84,276,369,209,238,251,205,217,212,121,110,147,196,215,190,350,527,586,721,841,1087,1020,1298,855,1340,1763,1453,1523,1097,909,377,124,50,22,106,35,23,55
Mayo,37,42,75,135,59,84,105,91,55,45,80,158,141,159,215,188,397,363,448,576,763,830,903,407,837,955,1132,1439,1518,1076,240,19,66,6,4,38,0,22
Meath,84,283,373,423,266,277,194,154,157,136,97,229,297,249,256,383,536,761,872,1283,1139,2350,2595,1993,2904,3615,3347,3456,2868,1655,560,199,87,40,20,59,170,163
Monaghan,0,42,29,46,14,34,28,32,19,51,37,56,67,40,47,53,50,80,92,52,111,47,205,147,190,158,174,435,651,227,162,51,14,8,2,3,8,10
Offaly,6,6,32,60,30,119,42,42,42,65,73,69,110,78,84,62,171,116,167,132,289,431,638,399,640,1220,1060,938,995,524,193,27,27,24,12,6,21,4
Roscommon,20,26,52,64,75,77,23,19,42,21,30,40,43,33,44,92,54,58,100,86,152,183,254,289,347,445,962,1427,1101,441,70,45,9,4,0,1,0,8
Sligo,3,7,65,104,137,180,159,120,105,57,125,224,92,95,113,134,245,235,268,547,472,391,369,335,556,765,956,1213,1489,826,163,185,34,12,2,2,0,0
Tipperary,29,5,102,159,115,215,198,222,182,187,164,208,203,166,169,241,306,458,480,664,730,1024,1024,538,1098,1411,1885,1949,2158,1911,532,97,83,26,12,9,15,13
Waterford,189,156,190,252,284,299,335,378,302,300,338,465,389,235,368,341,560,589,717,840,893,919,1121,881,1550,1575,1771,1526,1278,944,310,64,18,20,5,13,55,42
Westmeath,177,213,121,140,156,183,127,76,57,77,74,166,150,152,133,168,154,328,389,584,725,928,976,777,1031,1609,1260,1071,1480,933,96,88,14,5,4,4,12,18
Wexford,43,39,62,81,52,63,127,108,72,136,131,191,159,190,255,210,267,433,532,916,1357,1640,1697,1049,1611,1584,2152,2178,2596,1167,351,126,91,9,15,6,36,77
Wicklow,228,194,257,673,397,400,338,288,191,195,113,394,297,118,315,370,329,687,678,1099,784,689,814,978,1345,2121,1480,1436,1381,842,236,215,52,25,28,44,121,182
